Date,FertilityRate
1960,1.70199275
1961,1.65772998
1962,1.53799736
1963,1.43916476
1964,1.38904607
1965,1.25017154
1966,1.15489316
1967,1.08888125
1968,0.99846107
1969,0.97724283
1970,1.1650027
1971,1.26433372
1972,1.07052279
1973,0.95447671
1974,0.91366023
1975,0.98598605
1976,0.95022005
1977,1.00577199
1978,1.05957305
1979,1.10357654
1980,0.9595899
1981,0.98141545
1982,0.95331758
1983,0.91437852
1984,0.86581731
1985,0.88612902
1986,0.92416418
1987,0.89382923
1988,0.90799904
1989,0.94440556
1990,1.12965047
1991,1.3362608
1992,1.38688564
1993,1.31868005
1994,1.22629607
1995,1.19078708
1996,1.16341162
1997,1.2039603
1998,1.1657145
1999,1.14834011
2000,1.11276901
2001,0.98974138
2002,0.9277975
2003,0.85948169
2004,0.92548394
2005,0.92171317
2006,0.9642539
2007,0.95105523
2008,0.94586527
2009,0.87665129
2010,0.83642155
2011,0.74561441
2012,0.74641991
2013,0.70026231
2014,0.74312425
2015,0.72973198
2020,0.57962861
2025,.6216263
2015,0.72973198
2016,0.7509377623984053
2017,0.7266432853924291
2018,0.7425770176805776
2019,0.7321267484869689
2020,0.738980643371353
2021,0.7344854601166559
2022,0.7374336629756387
2023,0.7355000599153781
2024,0.7367682293641857
2025,0.7359364900150185
2015,0.72973198
2016,0.77220172
2017,0.73373806
2018,0.71784544
2019,0.71075636
2020,0.70801282
2021,0.70687044
2022,0.70641452
2023,0.70622754
2024,0.7061528
2025,0.70612264
